indivisible tag,text_child,image_child,href_child,date_time_child
"<img src=""https://m.media-amazon.com/images/M/MV5BNDE3ODcxYzMtY2YzZC00NmNlLWJiNDMtZDViZWM2MzIxZDYwXkEyXkFqcGdeQXVyNjAwNDUxODI@._V1_UX45_CR0,0,45,67_AL_.jpg"" width=""45"" height=""67"" alt=""The Shawshank Redemption"">,<a href=""/title/tt0111161/"" title=""Frank Darabont (dir.), Tim Robbins, Morgan Freeman"">The Shawshank Redemption</a>,<span class=""secondaryInfo"">(1994)</span>","[None, 'The Shawshank Redemption', '(1994)']","https://m.media-amazon.com/images/M/MV5BNDE3ODcxYzMtY2YzZC00NmNlLWJiNDMtZDViZWM2MzIxZDYwXkEyXkFqcGdeQXVyNjAwNDUxODI@._V1_UX45_CR0,0,45,67_AL_.jpg,,",",/title/tt0111161/,",",,"
"<img src=""https://m.media-amazon.com/images/M/MV5BM2MyNjYxNmUtYTAwNi00MTYxLWJmNWYtYzZlODY3ZTk3OTFlXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UY67_CR1,0,45,67_AL_.jpg"" width=""45"" height=""67"" alt=""The Godfather"">,<a href=""/title/tt0068646/"" title=""Francis Ford Coppola (dir.), Marlon Brando, Al Pacino"">The Godfather</a>,<span class=""secondaryInfo"">(1972)</span>","[None, 'The Godfather', '(1972)']","https://m.media-amazon.com/images/M/MV5BM2MyNjYxNmUtYTAwNi00MTYxLWJmNWYtYzZlODY3ZTk3OTFlXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UY67_CR1,0,45,67_AL_.jpg,,",",/title/tt0068646/,",",,"
"<img src=""https://m.media-amazon.com/images/M/MV5BMTMxNTMwODM0NF5BMl5BanBnXkFtZTcwODAyMTk2Mw@@._V1_UY67_CR0,0,45,67_AL_.jpg"" width=""45"" height=""67"" alt=""The Dark Knight"">,<a href=""/title/tt0468569/"" title=""Christopher Nolan (dir.), Christian Bale, Heath Ledger"">The Dark Knight</a>,<span class=""secondaryInfo"">(2008)</span>","[None, 'The Dark Knight', '(2008)']","https://m.media-amazon.com/images/M/MV5BMTMxNTMwODM0NF5BMl5BanBnXkFtZTcwODAyMTk2Mw@@._V1_UY67_CR0,0,45,67_AL_.jpg,,",",/title/tt0468569/,",",,"
"<img src=""https://m.media-amazon.com/images/M/MV5BMWMwMGQzZTItY2JlNC00OWZiLWIyMDctNDk2ZDQ2YjRjMWQ0XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UY67_CR1,0,45,67_AL_.jpg"" width=""45"" height=""67"" alt=""The Godfather Part II"">,<a href=""/title/tt0071562/"" title=""Francis Ford Coppola (dir.), Al Pacino, Robert De Niro"">The Godfather Part II</a>,<span class=""secondaryInfo"">(1974)</span>","[None, 'The Godfather Part II', '(1974)']","https://m.media-amazon.com/images/M/MV5BMWMwMGQzZTItY2JlNC00OWZiLWIyMDctNDk2ZDQ2YjRjMWQ0XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UY67_CR1,0,45,67_AL_.jpg,,",",/title/tt0071562/,",",,"
"<img src=""https://m.media-amazon.com/images/M/MV5BMWU4N2FjNzYtNTVkNC00NzQ0LTg0MjAtYTJlMjFhNGUxZDFmXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_UX45_CR0,0,45,67_AL_.jpg"" width=""45"" height=""67"" alt=""12 Angry Men"">,<a href=""/title/tt0050083/"" title=""Sidney Lumet (dir.), Henry Fonda, Lee J. Cobb"">12 Angry Men</a>,<span class=""secondaryInfo"">(1957)</span>","[None, '12 Angry Men', '(1957)']","https://m.media-amazon.com/images/M/MV5BMWU4N2FjNzYtNTVkNC00NzQ0LTg0MjAtYTJlMjFhNGUxZDFmXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_UX45_CR0,0,45,67_AL_.jpg,,",",/title/tt0050083/,",",,"
"<img src=""https://m.media-amazon.com/images/M/MV5BNDE4OTMxMTctNmRhYy00NWE2LTg3YzItYTk3M2UwOTU5Njg4XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX45_CR0,0,45,67_AL_.jpg"" width=""45"" height=""67"" alt=""Schindler's List"">,<a href=""/title/tt0108052/"" title=""Steven Spielberg (dir.), Liam Neeson, Ralph Fiennes"">Schindler's List</a>,<span class=""secondaryInfo"">(1993)</span>","[None, ""Schindler's List"", '(1993)']","https://m.media-amazon.com/images/M/MV5BNDE4OTMxMTctNmRhYy00NWE2LTg3YzItYTk3M2UwOTU5Njg4XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX45_CR0,0,45,67_AL_.jpg,,",",/title/tt0108052/,",",,"
"<img src=""https://m.media-amazon.com/images/M/MV5BNzA5ZDNlZWMtM2NhNS00NDJjLTk4NDItYTRmY2EwMWZlMTY3XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UY67_CR0,0,45,67_AL_.jpg"" width=""45"" height=""67"" alt=""The Lord of the Rings: The Return of the King"">,<a href=""/title/tt0167260/"" title=""Peter Jackson (dir.), Elijah Wood, Viggo Mortensen"">The Lord of the Rings: The Return of the King</a>,<span class=""secondaryInfo"">(2003)</span>","[None, 'The Lord of the Rings: The Return of the King', '(2003)']","https://m.media-amazon.com/images/M/MV5BNzA5ZDNlZWMtM2NhNS00NDJjLTk4NDItYTRmY2EwMWZlMTY3XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UY67_CR0,0,45,67_AL_.jpg,,",",/title/tt0167260/,",",,"
"<img src=""https://m.media-amazon.com/images/M/MV5BNGNhMDIzZTUtNTBlZi00MTRlLWFjM2ItYzViMjE3YzI5MjljXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UY67_CR0,0,45,67_AL_.jpg"" width=""45"" height=""67"" alt=""Pulp Fiction"">,<a href=""/title/tt0110912/"" title=""Quentin Tarantino (dir.), John Travolta, Uma Thurman"">Pulp Fiction</a>,<span class=""secondaryInfo"">(1994)</span>","[None, 'Pulp Fiction', '(1994)']","https://m.media-amazon.com/images/M/MV5BNGNhMDIzZTUtNTBlZi00MTRlLWFjM2ItYzViMjE3YzI5MjljXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UY67_CR0,0,45,67_AL_.jpg,,",",/title/tt0110912/,",",,"
"<img src=""https://m.media-amazon.com/images/M/MV5BN2EyZjM3NzUtNWUzMi00MTgxLWI0NTctMzY4M2VlOTdjZWRiXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_UY67_CR0,0,45,67_AL_.jpg"" width=""45"" height=""67"" alt=""The Lord of the Rings: The Fellowship of the Ring"">,<a href=""/title/tt0120737/"" title=""Peter Jackson (dir.), Elijah Wood, Ian McKellen"">The Lord of the Rings: The Fellowship of the Ring</a>,<span class=""secondaryInfo"">(2001)</span>","[None, 'The Lord of the Rings: The Fellowship of the Ring', '(2001)']","https://m.media-amazon.com/images/M/MV5BN2EyZjM3NzUtNWUzMi00MTgxLWI0NTctMzY4M2VlOTdjZWRiXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_UY67_CR0,0,45,67_AL_.jpg,,",",/title/tt0120737/,",",,"
"<img src=""https://m.media-amazon.com/images/M/MV5BNjJlYmNkZGItM2NhYy00MjlmLTk5NmQtNjg1NmM2ODU4OTMwXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_UX45_CR0,0,45,67_AL_.jpg"" width=""45"" height=""67"" alt=""The Good, the Bad and the Ugly"">,<a href=""/title/tt0060196/"" title=""Sergio Leone (dir.), Clint Eastwood, Eli Wallach"">The Good, the Bad and the Ugly</a>,<span class=""secondaryInfo"">(1966)</span>","[None, 'The Good, the Bad and the Ugly', '(1966)']","https://m.media-amazon.com/images/M/MV5BNjJlYmNkZGItM2NhYy00MjlmLTk5NmQtNjg1NmM2ODU4OTMwXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_UX45_CR0,0,45,67_AL_.jpg,,",",/title/tt0060196/,",",,"
"<img src=""https://m.media-amazon.com/images/M/MV5BNWIwODRlZTUtY2U3ZS00Yzg1LWJhNzYtMmZiYmEyNmU1NjMzXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UY67_CR0,0,45,67_AL_.jpg"" width=""45"" height=""67"" alt=""Forrest Gump"">,<a href=""/title/tt0109830/"" title=""Robert Zemeckis (dir.), Tom Hanks, Robin Wright"">Forrest Gump</a>,<span class=""secondaryInfo"">(1994)</span>","[None, 'Forrest Gump', '(1994)']","https://m.media-amazon.com/images/M/MV5BNWIwODRlZTUtY2U3ZS00Yzg1LWJhNzYtMmZiYmEyNmU1NjMzXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UY67_CR0,0,45,67_AL_.jpg,,",",/title/tt0109830/,",",,"
"<img src=""https://m.media-amazon.com/images/M/MV5BNDIzNDU0YzEtYzE5Ni00ZjlkLTk5ZjgtNjM3NWE4YzA3Nzk3XkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_UY67_CR0,0,45,67_AL_.jpg"" width=""45"" height=""67"" alt=""Fight Club"">,<a href=""/title/tt0137523/"" title=""David Fincher (dir.), Brad Pitt, Edward Norton"">Fight Club</a>,<span class=""secondaryInfo"">(1999)</span>","[None, 'Fight Club', '(1999)']","https://m.media-amazon.com/images/M/MV5BNDIzNDU0YzEtYzE5Ni00ZjlkLTk5ZjgtNjM3NWE4YzA3Nzk3XkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_UY67_CR0,0,45,67_AL_.jpg,,",",/title/tt0137523/,",",,"
"<img src=""https://m.media-amazon.com/images/M/MV5BZGMxZTdjZmYtMmE2Ni00ZTdkLWI5NTgtNjlmMjBiNzU2MmI5XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX45_CR0,0,45,67_AL_.jpg"" width=""45"" height=""67"" alt=""The Lord of the Rings: The Two Towers"">,<a href=""/title/tt0167261/"" title=""Peter Jackson (dir.), Elijah Wood, Ian McKellen"">The Lord of the Rings: The Two Towers</a>,<span class=""secondaryInfo"">(2002)</span>","[None, 'The Lord of the Rings: The Two Towers', '(2002)']","https://m.media-amazon.com/images/M/MV5BZGMxZTdjZmYtMmE2Ni00ZTdkLWI5NTgtNjlmMjBiNzU2MmI5XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX45_CR0,0,45,67_AL_.jpg,,",",/title/tt0167261/,",",,"
"<img src=""https://m.media-amazon.com/images/M/MV5BMjAxMzY3NjcxNF5BMl5BanBnXkFtZTcwNTI5OTM0Mw@@._V1_UY67_CR0,0,45,67_AL_.jpg"" width=""45"" height=""67"" alt=""Inception"">,<a href=""/title/tt1375666/"" title=""Christopher Nolan (dir.), Leonardo DiCaprio, Joseph Gordon-Levitt"">Inception</a>,<span class=""secondaryInfo"">(2010)</span>","[None, 'Inception', '(2010)']","https://m.media-amazon.com/images/M/MV5BMjAxMzY3NjcxNF5BMl5BanBnXkFtZTcwNTI5OTM0Mw@@._V1_UY67_CR0,0,45,67_AL_.jpg,,",",/title/tt1375666/,",",,"
"<img src=""https://m.media-amazon.com/images/M/MV5BYmU1NDRjNDgtMzhiMi00NjZmLTg5NGItZDNiZjU5NTU4OTE0XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX45_CR0,0,45,67_AL_.jpg"" width=""45"" height=""67"" alt=""Star Wars: Episode V - The Empire Strikes Back"">,<a href=""/title/tt0080684/"" title=""Irvin Kershner (dir.), Mark Hamill, Harrison Ford"">Star Wars: Episode V - The Empire Strikes Back</a>,<span class=""secondaryInfo"">(1980)</span>","[None, 'Star Wars: Episode V - The Empire Strikes Back', '(1980)']","https://m.media-amazon.com/images/M/MV5BYmU1NDRjNDgtMzhiMi00NjZmLTg5NGItZDNiZjU5NTU4OTE0XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX45_CR0,0,45,67_AL_.jpg,,",",/title/tt0080684/,",",,"
"<img src=""https://m.media-amazon.com/images/M/MV5BNzQzOTk3OTAtNDQ0Zi00ZTVkLWI0MTEtMDllZjNkYzNjNTc4L2ltYWdlXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX45_CR0,0,45,67_AL_.jpg"" width=""45"" height=""67"" alt=""The Matrix"">,<a href=""/title/tt0133093/"" title=""Lana Wachowski (dir.), Keanu Reeves, Laurence Fishburne"">The Matrix</a>,<span class=""secondaryInfo"">(1999)</span>","[None, 'The Matrix', '(1999)']","https://m.media-amazon.com/images/M/MV5BNzQzOTk3OTAtNDQ0Zi00ZTVkLWI0MTEtMDllZjNkYzNjNTc4L2ltYWdlXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX45_CR0,0,45,67_AL_.jpg,,",",/title/tt0133093/,",",,"
"<img src=""https://m.media-amazon.com/images/M/MV5BY2NkZjEzMDgtN2RjYy00YzM1LWI4ZmQtMjIwYjFjNmI3ZGEwXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX45_CR0,0,45,67_AL_.jpg"" width=""45"" height=""67"" alt=""Goodfellas"">,<a href=""/title/tt0099685/"" title=""Martin Scorsese (dir.), Robert De Niro, Ray Liotta"">Goodfellas</a>,<span class=""secondaryInfo"">(1990)</span>","[None, 'Goodfellas', '(1990)']","https://m.media-amazon.com/images/M/MV5BY2NkZjEzMDgtN2RjYy00YzM1LWI4ZmQtMjIwYjFjNmI3ZGEwXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX45_CR0,0,45,67_AL_.jpg,,",",/title/tt0099685/,",",,"
"<img src=""https://m.media-amazon.com/images/M/MV5BZjA0OWVhOTAtYWQxNi00YzNhLWI4ZjYtNjFjZTEyYjJlNDVlL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UY67_CR0,0,45,67_AL_.jpg"" width=""45"" height=""67"" alt=""One Flew Over the Cuckoo's Nest"">,<a href=""/title/tt0073486/"" title=""Milos Forman (dir.), Jack Nicholson, Louise Fletcher"">One Flew Over the Cuckoo's Nest</a>,<span class=""secondaryInfo"">(1975)</span>","[None, ""One Flew Over the Cuckoo's Nest"", '(1975)']","https://m.media-amazon.com/images/M/MV5BZjA0OWVhOTAtYWQxNi00YzNhLWI4ZjYtNjFjZTEyYjJlNDVlL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UY67_CR0,0,45,67_AL_.jpg,,",",/title/tt0073486/,",",,"
"<img src=""https://m.media-amazon.com/images/M/MV5BOTUwODM5MTctZjczMi00OTk4LTg3NWUtNmVhMTAzNTNjYjcyXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX45_CR0,0,45,67_AL_.jpg"" width=""45"" height=""67"" alt=""Se7en"">,<a href=""/title/tt0114369/"" title=""David Fincher (dir.), Morgan Freeman, Brad Pitt"">Se7en</a>,<span class=""secondaryInfo"">(1995)</span>","[None, 'Se7en', '(1995)']","https://m.media-amazon.com/images/M/MV5BOTUwODM5MTctZjczMi00OTk4LTg3NWUtNmVhMTAzNTNjYjcyXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX45_CR0,0,45,67_AL_.jpg,,",",/title/tt0114369/,",",,"
"<img src=""https://m.media-amazon.com/images/M/MV5BZjc4NDZhZWMtNGEzYS00ZWU2LThlM2ItNTA0YzQ0OTExMTE2XkEyXkFqcGdeQXVyNjUwMzI2NzU@._V1_UY67_CR0,0,45,67_AL_.jpg"" width=""45"" height=""67"" alt=""It's a Wonderful Life"">,<a href=""/title/tt0038650/"" title=""Frank Capra (dir.), James Stewart, Donna Reed"">It's a Wonderful Life</a>,<span class=""secondaryInfo"">(1946)</span>","[None, ""It's a Wonderful Life"", '(1946)']","https://m.media-amazon.com/images/M/MV5BZjc4NDZhZWMtNGEzYS00ZWU2LThlM2ItNTA0YzQ0OTExMTE2XkEyXkFqcGdeQXVyNjUwMzI2NzU@._V1_UY67_CR0,0,45,67_AL_.jpg,,",",/title/tt0038650/,",",,"
"<img src=""https://m.media-amazon.com/images/M/MV5BNWQ3OTM4ZGItMWEwZi00MjI5LWI3YzgtNTYwNWRkNmIzMGI5XkEyXkFqcGdeQXVyNDY2MTk1ODk@._V1_UY67_CR1,0,45,67_AL_.jpg"" width=""45"" height=""67"" alt=""Seven Samurai"">,<a href=""/title/tt0047478/"" title=""Akira Kurosawa (dir.), Toshirô Mifune, Takashi Shimura"">Seven Samurai</a>,<span class=""secondaryInfo"">(1954)</span>","[None, 'Seven Samurai', '(1954)']","https://m.media-amazon.com/images/M/MV5BNWQ3OTM4ZGItMWEwZi00MjI5LWI3YzgtNTYwNWRkNmIzMGI5XkEyXkFqcGdeQXVyNDY2MTk1ODk@._V1_UY67_CR1,0,45,67_AL_.jpg,,",",/title/tt0047478/,",",,"
"<img src=""https://m.media-amazon.com/images/M/MV5BNjNhZTk0ZmEtNjJhMi00YzFlLWE1MmEtYzM1M2ZmMGMwMTU4XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UY67_CR0,0,45,67_AL_.jpg"" width=""45"" height=""67"" alt=""The Silence of the Lambs"">,<a href=""/title/tt0102926/"" title=""Jonathan Demme (dir.), Jodie Foster, Anthony Hopkins"">The Silence of the Lambs</a>,<span class=""secondaryInfo"">(1991)</span>","[None, 'The Silence of the Lambs', '(1991)']","https://m.media-amazon.com/images/M/MV5BNjNhZTk0ZmEtNjJhMi00YzFlLWE1MmEtYzM1M2ZmMGMwMTU4XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UY67_CR0,0,45,67_AL_.jpg,,",",/title/tt0102926/,",",,"
